1	34
2	8
3	37
4	2
5	36
6	34
7	33
8	29
9	26
10	29
11	25
12	10
13	6
14	15
15	7
16	35
17	37
18	4
19	19
20	24
21	10
22	3
23	17
24	39
25	23
26	6
27	4
28	5
29	8
30	1
31	16
32	12
33	12
34	17
35	38
36	11
37	18
38	23
39	39
40	15
41	28
42	25
43	13
44	29
45	3
46	13
47	16
48	22
49	28
50	1
51	21
52	0
53	28
54	34
55	31
56	2
57	11
58	12
59	6
60	30
61	15
62	29
63	19
64	31
65	27
66	21
67	3
68	7
69	32
70	26
71	17
72	23
73	27
74	0
75	36
76	18
77	36
78	24
79	15
80	15
81	37
82	5
83	6
84	4
85	24
86	19
87	12
88	19
89	36
90	33
91	24
92	38
93	14
94	3
95	38
96	15
97	20
98	32
99	37
100	12
